PIB;POPULACAO_ESTIMADA;PIB_PERCAPTA;empresas_geral;empresas_hospedagem;empresas_saude;empresas_transporte;empresas_alimenticio;empresas_vestuario;total_empresas
1.0;0.9227636547179776;0.3139543172482945;0.9357007396226474;0.957147479544452;0.9324978843591272;0.8598743393063023;0.8982969616213061;0.885475571475869;0.9333065816372396
0.9227636547179776;1.0;0.21015889310527056;0.8157309829800861;0.9016912100954954;0.8390101914223123;0.738141195523467;0.7607007045789473;0.7939341931092841;0.8133524792830916
0.3139543172482945;0.21015889310527056;1.0;0.24865269288241088;0.2916782888490142;0.20884227281096882;0.30927279707281125;0.24610898288445102;0.25866766577795824;0.2493216143895303
0.9357007396226474;0.8157309829800861;0.24865269288241088;1.0;0.9294215689043458;0.9912677302555722;0.9547826320877966;0.994295105960759;0.9419189103215185;0.9999361404022192
0.957147479544452;0.9016912100954954;0.2916782888490142;0.9294215689043458;1.0;0.937363158883397;0.853957078231823;0.9005103791289064;0.8562912352052252;0.9277995663081001
0.9324978843591272;0.8390101914223123;0.20884227281096882;0.9912677302555722;0.937363158883397;1.0;0.9308525891335059;0.9815235585072769;0.9220138193296561;0.9910751490460548
0.8598743393063023;0.738141195523467;0.30927279707281125;0.9547826320877966;0.853957078231823;0.9308525891335059;1.0;0.9609112418972392;0.9481679019511234;0.9574173461716707
0.8982969616213061;0.7607007045789473;0.24610898288445102;0.994295105960759;0.9005103791289064;0.9815235585072769;0.9609112418972392;1.0;0.9328264040760748;0.9949650698428377
0.885475571475869;0.7939341931092841;0.25866766577795824;0.9419189103215185;0.8562912352052252;0.9220138193296561;0.9481679019511234;0.9328264040760748;1.0;0.9439227894793575
0.9333065816372396;0.8133524792830916;0.2493216143895303;0.9999361404022192;0.9277995663081001;0.9910751490460548;0.9574173461716707;0.9949650698428377;0.9439227894793575;1.0
